Geography,Name,Level,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NYC,New York City,City,"$1,210","$1,230","$1,250","$1,300","$1,330","$1,330","$1,340","$1,350","$1,390","$1,430","$1,450","$1,450","$1,490","$1,510"
BX,The Bronx,Boro,"$1,060","$1,070","$1,090","$1,110","$1,140","$1,160","$1,140","$1,160","$1,170","$1,200","$1,210","$1,230","$1,230","$1,250"
BK,Brooklyn,Boro,"$1,150","$1,180","$1,190","$1,220","$1,270","$1,270","$1,290","$1,310","$1,350","$1,390","$1,440","$1,440","$1,480","$1,510"
MN,Manhattan,Boro,"$1,390","$1,410","$1,440","$1,560","$1,530","$1,600","$1,620","$1,640","$1,660","$1,750","$1,780","$1,690","$1,810","$1,780"
QN,Queens,Boro,"$1,370","$1,380","$1,370","$1,430","$1,460","$1,460","$1,460","$1,470","$1,510","$1,560","$1,560","$1,580","$1,640","$1,670"
SI,Staten Island,Boro,"$1,270","$1,340","$1,300","$1,320","$1,340","$1,270","$1,250","$1,280","$1,250","$1,310","$1,340","$1,350","$1,330","$1,320"
BX 01,Mott Haven/Melrose,Community District,$780,$770,$800,$840,$830,$830,$840,$910,$890,$920,"$1,020","$1,020",$950,"$1,000"
BX 02,Hunts Point/Longwood,Community District,$780,$770,$800,$840,$830,$830,$840,$910,$890,$920,"$1,020","$1,020",$950,"$1,000"
BX 03,Morrisania/Crotona,Community District,$910,$930,$930,$970,$970,"$1,000",$970,"$1,010",$980,"$1,030","$1,040","$1,080","$1,080","$1,110"
BX 04,Highbridge/Concourse,Community District,"$1,020","$1,060","$1,070","$1,080","$1,120","$1,110","$1,110","$1,190","$1,140","$1,180","$1,190","$1,180","$1,210","$1,190"
BX 05,Fordham/University Heights,Community District,"$1,060","$1,060","$1,090","$1,110","$1,170","$1,110","$1,150","$1,110","$1,170","$1,200","$1,200","$1,230","$1,200","$1,240"
BX 06,Belmont/East Tremont,Community District,$910,$930,$930,$970,$970,"$1,000",$970,"$1,010",$980,"$1,030","$1,040","$1,080","$1,080","$1,110"
BX 07,Kingsbridge Heights/Bedford,Community District,"$1,150","$1,130","$1,160","$1,160","$1,240","$1,240","$1,250","$1,230","$1,260","$1,290","$1,270","$1,320","$1,320","$1,370"
BX 08,Riverdale/Fieldston,Community District,"$1,200","$1,220","$1,250","$1,290","$1,320","$1,340","$1,340","$1,380","$1,290","$1,410","$1,410","$1,460","$1,430","$1,430"
BX 09,Parkchester/Soundview,Community District,"$1,090","$1,060","$1,080","$1,110","$1,150","$1,210","$1,140","$1,150","$1,200","$1,210","$1,240","$1,220","$1,240","$1,290"
BX 10,Throgs Neck/Co-op City,Community District,"$1,130","$1,090","$1,230","$1,150","$1,220","$1,240","$1,100","$1,200","$1,210","$1,150","$1,280","$1,240","$1,210","$1,230"
BX 11,Morris Park/Bronxdale,Community District,"$1,120","$1,210","$1,160","$1,210","$1,230","$1,270","$1,290","$1,250","$1,330","$1,350","$1,360","$1,340","$1,390","$1,440"
BX 12,Williamsbridge/Baychester,Community District,"$1,180","$1,200","$1,210","$1,250","$1,230","$1,280","$1,280","$1,330","$1,310","$1,300","$1,350","$1,460","$1,460","$1,380"
BK 01,Greenpoint/Williamsburg,Community District,"$1,050","$1,210","$1,180","$1,240","$1,250","$1,390","$1,450","$1,420","$1,730","$1,740","$1,870","$2,070","$1,920","$2,060"
BK 02,Fort Greene/Brooklyn Heights,Community District,"$1,200","$1,350","$1,290","$1,420","$1,620","$1,560","$1,720","$1,640","$1,770","$1,890","$1,920","$1,980","$2,190","$2,260"
BK 03,Bedford Stuyvesant,Community District,$930,"$1,000","$1,090","$1,100","$1,120","$1,060","$1,170","$1,160","$1,160","$1,330","$1,390","$1,280","$1,460","$1,460"
BK 04,Bushwick,Community District,"$1,060","$1,140","$1,180","$1,240","$1,300","$1,320","$1,310","$1,350","$1,380","$1,410","$1,510","$1,510","$1,650","$1,740"
BK 05,East New York/Starrett City,Community District,"$1,110","$1,130","$1,170","$1,170","$1,200","$1,190","$1,130","$1,220","$1,150","$1,200","$1,210","$1,290","$1,290","$1,220"
BK 06,Park Slope/Carroll Gardens,Community District,"$1,710","$1,570","$1,800","$1,920","$1,910","$1,940","$1,900","$2,040","$2,170","$2,210","$2,180","$2,360","$2,190","$2,370"
BK 07,Sunset Park,Community District,"$1,250","$1,230","$1,260","$1,300","$1,360","$1,320","$1,380","$1,380","$1,450","$1,400","$1,500","$1,520","$1,650","$1,570"
BK 08,Crown Heights/Prospect Heights,Community District,"$1,100","$1,090","$1,150","$1,140","$1,250","$1,210","$1,210","$1,200","$1,270","$1,320","$1,460","$1,310","$1,420","$1,580"
BK 09,South Crown Heights/Lefferts Gardens,Community District,"$1,130","$1,150","$1,150","$1,160","$1,220","$1,210","$1,270","$1,260","$1,350","$1,360","$1,390","$1,350","$1,540","$1,460"
BK 10,Bay Ridge/Dyker Heights,Community District,"$1,290","$1,300","$1,320","$1,390","$1,380","$1,400","$1,390","$1,410","$1,450","$1,500","$1,550","$1,530","$1,510","$1,640"
BK 11,Bensonhurst,Community District,"$1,240","$1,220","$1,180","$1,140","$1,190","$1,270","$1,300","$1,300","$1,330","$1,380","$1,430","$1,440","$1,460","$1,470"
BK 12,Borough Park,Community District,"$1,250","$1,230","$1,320","$1,310","$1,400","$1,360","$1,370","$1,430","$1,510","$1,470","$1,550","$1,500","$1,610","$1,610"
BK 13,Coney Island,Community District,$890,$940,$910,$990,"$1,020","$1,010",$980,"$1,010",$940,"$1,120","$1,050","$1,070","$1,160","$1,100"
BK 14,Flatbush/Midwood,Community District,"$1,190","$1,210","$1,220","$1,220","$1,280","$1,300","$1,300","$1,310","$1,380","$1,420","$1,420","$1,470","$1,430","$1,510"
BK 15,Sheepshead Bay,Community District,"$1,130","$1,190","$1,150","$1,220","$1,230","$1,230","$1,300","$1,290","$1,360","$1,410","$1,400","$1,460","$1,460","$1,470"
BK 16,Brownsville,Community District,$800,$820,$880,$950,$990,$950,"$1,050",$960,"$1,030",$930,"$1,040",$930,"$1,000","$1,130"
BK 17,East Flatbush,Community District,"$1,180","$1,180","$1,240","$1,230","$1,270","$1,230","$1,240","$1,310","$1,290","$1,320","$1,410","$1,350","$1,380","$1,450"
BK 18,Flatlands/Canarsie,Community District,"$1,270","$1,330","$1,310","$1,340","$1,330","$1,340","$1,350","$1,420","$1,370","$1,430","$1,460","$1,470","$1,510","$1,480"
MN 01,Financial District,Community District,"$2,250","$2,320","$2,340","$2,460","$2,560","$2,520","$2,590","$2,650","$2,770","$2,880","$2,720","$2,700","$2,730","$2,840"
MN 02,Greenwich Village/Soho,Community District,"$2,250","$2,320","$2,340","$2,460","$2,560","$2,520","$2,590","$2,650","$2,770","$2,880","$2,720","$2,700","$2,730","$2,840"
MN 03,Lower East Side/Chinatown,Community District,$990,$920,$900,"$1,040","$1,080","$1,000","$1,180","$1,050","$1,110","$1,170","$1,130","$1,180","$1,180","$1,070"
MN 04,Clinton/Chelsea,Community District,"$1,840","$1,770","$1,810","$2,010","$1,910","$2,070","$2,240","$2,460","$2,410","$2,380","$2,400","$2,220","$2,160","$2,040"
MN 05,Midtown,Community District,"$1,840","$1,770","$1,810","$2,010","$1,910","$2,070","$2,240","$2,460","$2,410","$2,380","$2,400","$2,220","$2,160","$2,040"
MN 06,Stuyvesant Town/Turtle Bay,Community District,"$2,010","$2,190","$2,170","$2,270","$2,240","$2,240","$2,310","$2,530","$2,340","$2,650","$2,720","$2,580","$2,530","$2,830"
MN 07,Upper West Side,Community District,"$1,710","$1,850","$1,800","$2,040","$1,790","$2,080","$1,870","$1,960","$1,920","$1,960","$2,320","$2,020","$2,300","$2,020"
MN 08,Upper East Side,Community District,"$2,030","$2,140","$2,150","$2,120","$2,090","$2,110","$2,190","$2,160","$2,280","$2,270","$2,420","$2,460","$2,380","$2,400"
MN 09,Morningside Heights/Hamilton,Community District,"$1,020","$1,160","$1,220","$1,240","$1,170","$1,230","$1,260","$1,310","$1,330","$1,430","$1,330","$1,320","$1,570","$1,530"
MN 10,Central Harlem,Community District,$830,$890,$880,$880,$930,$980,$980,$990,"$1,060","$1,130","$1,070","$1,100","$1,180","$1,260"
MN 11,East Harlem,Community District,$720,$750,$770,$850,$940,$920,"$1,040",$960,$940,$850,$940,$940,"$1,060",$910
MN 12,Washington Heights/Inwood,Community District,"$1,070","$1,110","$1,130","$1,170","$1,220","$1,250","$1,200","$1,240","$1,330","$1,350","$1,400","$1,340","$1,430","$1,340"
QN 01,Astoria,Community District,"$1,310","$1,320","$1,360","$1,430","$1,500","$1,480","$1,530","$1,520","$1,610","$1,650","$1,640","$1,730","$1,750","$1,810"
QN 02,Woodside/Sunnyside,Community District,"$1,370","$1,440","$1,370","$1,470","$1,520","$1,540","$1,560","$1,570","$1,690","$1,720","$1,690","$1,700","$1,790","$1,850"
QN 03,Jackson Heights,Community District,"$1,400","$1,450","$1,380","$1,420","$1,420","$1,440","$1,480","$1,490","$1,510","$1,520","$1,580","$1,590","$1,660","$1,670"
QN 04,Elmhurst/Corona,Community District,"$1,390","$1,400","$1,390","$1,470","$1,460","$1,470","$1,470","$1,490","$1,510","$1,550","$1,500","$1,540","$1,650","$1,660"
QN 05,Ridgewood/Maspeth,Community District,"$1,350","$1,370","$1,350","$1,400","$1,460","$1,400","$1,390","$1,380","$1,440","$1,550","$1,600","$1,540","$1,630","$1,700"
QN 06,Rego Park/Forest Hills,Community District,"$1,430","$1,510","$1,490","$1,510","$1,550","$1,590","$1,540","$1,600","$1,620","$1,670","$1,690","$1,740","$1,820","$1,810"
QN 07,Flushing/Whitestone,Community District,"$1,490","$1,470","$1,460","$1,510","$1,560","$1,520","$1,490","$1,490","$1,490","$1,540","$1,620","$1,560","$1,570","$1,590"
QN 08,Hillcrest/Fresh Meadows,Community District,"$1,360","$1,310","$1,380","$1,450","$1,390","$1,400","$1,450","$1,440","$1,470","$1,580","$1,630","$1,550","$1,570","$1,580"
QN 09,Kew Gardens/Woodhaven,Community District,"$1,420","$1,390","$1,400","$1,430","$1,430","$1,440","$1,490","$1,490","$1,530","$1,560","$1,580","$1,560","$1,680","$1,670"
QN 10,South Ozone Park/Howard Beach,Community District,"$1,490","$1,450","$1,480","$1,440","$1,520","$1,470","$1,460","$1,450","$1,510","$1,540","$1,550","$1,650","$1,760","$1,760"
QN 11,Bayside/Little Neck,Community District,"$1,530","$1,520","$1,650","$1,680","$1,660","$1,780","$1,740","$1,700","$1,760","$1,810","$1,750","$1,910","$2,010","$1,910"
QN 12,Jamaica/Hollis,Community District,"$1,190","$1,190","$1,200","$1,270","$1,300","$1,280","$1,280","$1,310","$1,320","$1,330","$1,340","$1,380","$1,380","$1,360"
QN 13,Queens Village,Community District,"$1,550","$1,560","$1,500","$1,570","$1,600","$1,660","$1,550","$1,550","$1,630","$1,640","$1,620","$1,690","$1,650","$1,770"
QN 14,Rockaway/Broad Channel,Community District,"$1,040",$980,"$1,090","$1,090","$1,070","$1,120","$1,090","$1,170","$1,100","$1,220","$1,120","$1,240","$1,280","$1,260"
SI 01,St. George/Stapleton,Community District,"$1,220","$1,300","$1,290","$1,220","$1,340","$1,250","$1,200","$1,180","$1,210","$1,270","$1,310","$1,260","$1,280","$1,230"
SI 02,South Beach/Willowbrook,Community District,"$1,330","$1,370","$1,260","$1,370","$1,250","$1,270","$1,210","$1,400","$1,250","$1,420","$1,410","$1,490","$1,340","$1,400"
SI 03,Tottenville/Great Kills,Community District,"$1,330","$1,390","$1,390","$1,450","$1,450","$1,320","$1,380","$1,360","$1,340","$1,280","$1,330","$1,460","$1,440","$1,420"
